Project,"DataQual
",FpAppTot,FpDevIt,EnhAdjFac,MainAdj,AfpApp,AfpDev,ManDayIt,LocJavaTotal,LocJavaIt,LocVUEtotal,LocVUEit,LocByAfpJava+VUE,LocByAfpVUE,TestCasesTotal,MandayTst,AutoTstRate,TstCasesManual,MandayManualTst,TstCasesAuto,MandayAutoTst,DefectCount,ButRate,FpAppTot,FpDevIt,EnhAdjFac,MainAdj,MandayItTotal,LocJavaTotal,LocJavaIt,LocVUEtotal,LocVUEiter,TstCasesManual,MandayManualTst,TstCasesAuto,MandayAutoTst,BugCount,CCI,dSumOfBugCount
P5,1.0,1873.6,421,1.00 ,1.00 ,1873.6,421.00 ,106,45828,6353,0,0,59.93 ,0.00,365,17,75%,90,9,275,8,115,6.76,1873.6,421,1,1,106.00,45828,6353,0,0,90 ,9 ,275 ,8 ,115 ,,
P5,1.0,1954.6,81,1.00 ,1.00 ,1954.6,81.00 ,53.75,46641,813,0,0,15.13 ,0.00,182,12.5,100%,0,0,182,12.5,32,2.56,1954.6,81,1,1,53.75,46641,813,0,0,0 ,0 ,182 ,13 ,32 ,,
P5,1.0,2024.6,70,1.00 ,1.00 ,2024.6,70.00 ,44.26,49483,2842,0,0,64.21 ,0.00,64,12,100%,0,0,64,12,52,4.33,2024.6,70,1,1,44.26,49483,2842,0,0,0 ,0 ,64 ,12 ,52 ,,
P5,1.0,2067.8,43.2,1.00 ,1.00 ,2067.8,43.20 ,30,52381,2898,0,0,96.60 ,0.00,352,25,99%,4,5,348,20,23,0.92,2067.80,43.20,1.00,1.00,30.00,52381,2898,0,0,4 ,5 ,348 ,20 ,23 ,,
P5,1.0,2154.2,86.4,0.96 ,0.92 ,2063.7236,76.32 ,52,55986,3605,0,0,69.33 ,0.00,115,17,100%,0,0,115,17,30,1.76,2154.2,86.4,0.958,0.922,52.00,55986,3605,0,0,0 ,0 ,115 ,17 ,30 ,0.514,774 
P6,1.4,4937.5,4937.5,0.90 ,0.90 ,6221.25,5599.13 ,2324.2,300684,300684,0,0,129.37 ,0.00,2012,105,89%,229,35,1783,70,796,7.58,4937.5,4937.5,0.9,0.9,2324.20,300684,300684,0,0,229 ,35 ,1783 ,70 ,796 ,,
P6,1.4,5272.3,334.8,0.90 ,0.90 ,6643.098,379.66 ,174.2,303765,3081,0,0,17.69 ,0.00,582,12,82%,102,9,480,3,55,4.58,5272.3,334.8,0.9,0.9,174.20,303765,3081,0,0,102 ,9 ,480 ,3 ,55 ,,
P6,1.4,5572,299.7,1.00 ,1.00 ,7800.8,419.58 ,151.95,324589,20826,0,0,137.06 ,0.00,2298,19,77%,538,12,1760,7,53,2.79,5572,299.7,1,1,151.95,324589,20826,0,0,538 ,12 ,1760 ,7 ,53 ,,
P6,1.4,5863.6,291.6,1.00 ,0.99 ,8209.04,404.16 ,152.5,331484,6895,0,0,45.21 ,0.00,2305,19.5,75%,587,12,1718,7.5,53,2.72,5863.6,291.6,1,0.99,152.50,331484,6895,0,0,587 ,12 ,1718 ,8 ,53 ,0.195,957 
P7,1.4,1925,1925,1.00 ,1.00 ,2695,2695.00 ,1606.5,44888,44888,12122,12122,35.49 ,4.50,1012,270,0%,1012,270,0,0,424,1.57,1925,1925,1,1,1606.50,44888,44888,12122,12122,1012 ,270 ,0 ,0 ,424 ,,
P8,1.3,496.8,59.4,1.00 ,0.77 ,645.84,59.69 ,27.5,20763,1576,8108,363,70.51 ,12.55,142,6,0%,142,6,0,0,20,3.33,496.8,59.4,1,0.773,27.50,20763,1576,8108,363,142 ,6 ,0 ,0 ,20 ,,
P8,1.3,529.2,108,1.00 ,0.58 ,687.96,80.73 ,44.32,21860,4186,9070,962,116.16 ,13.18,194,6,0%,194,6,0,0,31,5.17,529.2,108,1,0.575,44.32,21860,4186,9070,962,194 ,6 ,0 ,0 ,31 ,,
P8,1.3,788.4,151.2,1.00 ,0.66 ,1024.92,129.93 ,42.33,24032,2172,12098,3028,122.84 ,11.80,298,4.375,0%,298,4.375,0,0,19,4.34,788.4,151.2,1,0.661,42.33,24032,2172,12098,3028,298 ,4 ,0 ,0 ,19 ,0.069,494 
P8,1.3,858.6,162,1.00 ,0.71 ,1116.18,149.10 ,44.125,19138,-4894,12340,242,-105.43 ,11.06,172,6.875,0%,172,6.875,0,0,17,2.47,858.6,162.00,1.00,0.71,44.13,19138,-4894,12340,242,172 ,7 ,0 ,0 ,17 ,0.081,511 
P9,1.4,1050,1050,1.00 ,1.00 ,1470,1470.00 ,700,184134,184134,69595,69595,362.47 ,47.34,1945,30,0%,1945,30,0,0,376,12.53,1050,1050,1,1,700.00,184134,184134,69595,69595,1945 ,30 ,0 ,0 ,376 ,,
P9,1.4,2065,1015,0.72 ,0.72 ,2093.084,744.85 ,40,187453,3319,146444,76849,2004.20 ,69.97,562,10,0%,562,10,0,0,42,4.20,2065,1015,0.724,0.724,40.00,187453,3319,146444,76849,562 ,10 ,0 ,0 ,42 ,0.02,418 
P10,1.1,351,351,1.00 ,1.00 ,386.1,386.10 ,220,21462,21462,6444,6444,126.85 ,16.69,290,30,16%,245,27,45,3,124,4.13,351,351,1,1,220.00,21462,21462,6444,6444,245 ,27 ,45 ,3 ,124 ,,
P10,1.1,415.8,64.8,1.00 ,1.00 ,457.38,71.28 ,35,22878,1416,6611,167,45.23 ,14.45,42,5,0%,42,5,0,0,8,1.60,415.8,64.8,1,1,35.00,22878,1416,6611,167,42 ,5 ,0 ,0 ,8 ,0.024,132 
